"At Pantai Laut Selatan, Parang Tritis [vid]  https://t.co/VG7K1CZSNw"
"#parangtritis
#paris
#jogja
#traveler @ Pantai Parang Tritis Yogyakarta https://t.co/mgrMTtqYdW"
"jalan menuju pantai PARANG TRITIS: https://t.co/QUDpSRFs0N melalui @YouTube"
"Pantai parang tritis, Jogjakarta. Satu tahun yang lalu. #rindu @ https://t.co/Jlf3r0k3dq"
