"Prambanan temple~ @ Candi Prambanan https://t.co/33qI04OAwi"
"With Dimas at Candi Prambanan [pic]  https://t.co/d0j355zN1G"
"#OZTOGO PUNCAK BECICI - selain bisa nikmatin keindahan hutan pinusnya, km bisa ngeliat sunset dg latar Candi Pramba https://t.co/WhaxuzARo0"
"Ini borobudur masuk jawa tengah tapi seringkali masuk ikon pariwisata yogyakarta  Mending klo Prambanan msh d jog https://t.co/QHyArPdeJg"
"RT @tempodotco: Obama Sebut Borobudur dan Prambanan sebagai Wujud Toleransi RI  https://t.co/Q4BMLYLHIU"
"RT @SeputarEvent: #IndiHomePrambananJazz2017 Art, Music &amp; Culture | 18 - 20 Agustus 2017 | Candi Prambanan Yogyakarta ~ @PrambananJazz http"
"RT @ATCS_DIY: 06.23 wib, Kondisi Lalin di simpang Prambanan Terpantau Lancar https://t.co/NxHa71DwPQ"
"prambanan.. https://t.co/7v7vupauv3"
"RT @tempodotco: Obama Sebut Borobudur dan Prambanan sebagai Wujud Toleransi RI  https://t.co/Q4BMLYLHIU"
"@hendrarprihadi @PemkotSmg @P3Mkotasmg pak wali, sampah di kompleks rumah sy di candi prambanan blm diambil jg, sdh 10 hari. Bgm ini ?"
"RT @liputan6dotcom: Obama: Borobudur dan Prambanan Simbol Pluralisme Indonesia https://t.co/RzawxKWvr2 https://t.co/sCMdpHIAj8"
"RT @RTMCPoldaJateng: 06.27 WIB. Simpang 3 Prambanan lancar https://t.co/JAUuvPyaih"
"RT @ATCS_DIY: 06.23 wib, Kondisi Lalin di simpang Prambanan Terpantau Lancar https://t.co/NxHa71DwPQ"
"RT @ATCS_DIY: 06.50 wib lalu lintas di simpang prambanan arah timur masih terpantau ramai lancar https://t.co/ZeFiO2XUQ6"
"RT @ATCS_DIY: 06.23 wib, Kondisi Lalin di simpang Prambanan Terpantau Lancar https://t.co/NxHa71DwPQ"
